老千 ,"['崔东勋', '崔东勋', '许英万', '曹承佑', '金惠秀', '白润植', '柳海真', '李水京', '金应洙', '金允石', '剧情', '犯罪']","['崔东勋', '许英万']","['曹承佑', '金惠秀', '白润植', '柳海真', '李水京', '金应洙', '金允石']","['剧情', '犯罪']",['制片国家/地区: 韩国'],['语言: 韩语'],['上映日期: 2006-09-28'],['又名: 泰沙大豪客(港) / The War of Flower / Tazza: the High Rollers'],"
                            ",['ftp://6vdy:6vdy@vip.36ys.com:2116/【6V电影www.6vdy.com】老千BD中字1024x576无水印版.rmvb']
烈火英雄 ,"['陈国辉', '于勇敢', '陈国辉', '黄晓明', '杜江', '谭卓', '杨紫', '欧豪', '侯勇', '张哲瀚', '谷嘉诚', '印小天', '高戈', '许文广', '刘金山', '丁嘉丽', '剧情', '灾难']","['于勇敢', '陈国辉']","['黄晓明', '杜江', '谭卓', '杨紫', '欧豪', '侯勇', '张哲瀚', '谷嘉诚', '印小天', '高戈', '许文广', '刘金山', '丁嘉丽']","['剧情', '灾难']",[],[],[],[],"
                            滨海市海港码头发生管道爆炸，整个罐区的原油都顺着A01油罐往外流，化成火海和阵阵爆炸，威胁全市、全省，甚至邻国的安全。慌乱的市民们四处奔逃，一辆辆消防车却逆向冲进火海……",['magnet:?xt=urn:btih:MA23GAVZU455TUWF4QYOJLUXFKPLKMUP']
羊与钢的森林 ,"['桥本光二郎', '金子亚里纱', '山崎贤人', '铃木亮平', '上白石萌音', '上白石萌歌', '仲里依纱', '城田优', '森永悠希', '佐野勇斗', '堀内敬子', '光石研', '吉行和子', '三浦友和', '剧情']",['金子亚里纱'],"['山崎贤人', '铃木亮平', '上白石萌音', '上白石萌歌', '仲里依纱', '城田优', '森永悠希', '佐野勇斗', '堀内敬子', '光石研', '吉行和子', '三浦友和']",['剧情'],[],[],[],[],"
                            住在北海道的主人公・外村直樹（山崎賢人）和高中钢琴的调音师・板鳥宗一郎（三浦友和）相遇开始。在板鳥调音后的钢琴音色中外村仿佛感受到了森林的气息，为这个工作以及调音师的世界所吸引而开始在板鳥所在的乐器店工作。 因钢琴而联系到一起的人们中，他还遇到了高中生钢琴姐妹和音和由仁 ……。经历了烦恼，迷茫，挫折后成长的青年钢琴调音师的故事。","['magnet:?xt=urn:btih:VDAPKHJLW7BFYMFUBCKRKMGR6MGG5PPH', 'ed2k://|file|羊与钢之森.720p.BD中字[66影视www.66Ys.Co].mp4|1037935359|B52330852981DECEC498BFAFA96D8AB5|h=RHQAOKSDZMZVU3FMEPKGRXUEW4MZJGL6|/']"
毁灭战士：灭绝 ,"['托尼·基格里奥', '托尼·基格里奥', '艾米·曼森', '路易·曼迪勒', '多米尼克·马夫海姆', '卢克·阿伦-盖尔', '洛丽娜·卡姆布罗瓦', '内森·库珀', 'Hari Dhillon', 'Nina Bergman', 'Jemma Moore', 'Amer Chadha-Patel', 'Clayton Adams', '动作', '科幻', '恐怖']",['托尼·基格里奥'],"['艾米·曼森', '路易·曼迪勒', '多米尼克·马夫海姆', '卢克·阿伦-盖尔', '洛丽娜·卡姆布罗瓦', '内森·库珀', 'Hari Dhillon', 'Nina Bergman', 'Jemma Moore', 'Amer Chadha-Patel', 'Clayton Adams']","['动作', '科幻', '恐怖']",[],[],[],[],"
                            FPS鼻祖《毁灭战士》曾拍摄过真人版电影，由巨石强森、卡尔·厄本主演，虽然影片中劲爆的第一人称画面非常炫酷，但该片依然评价拙劣，不过随着B社全新重启的《毁灭战士》游戏震惊四座之后，环球正式宣布重启真人版电影，就像《古墓丽影》重启电影那样。","['ed2k://|file|毁灭战士：灭绝.1080p.BD中英双字[66影视www.66Ys.Co].mp4|1487152402|B6FF2A5E69F1974693231093AB195451|h=ZOOZED4ZCHAGBOWZ6VS2EKORDWWXVLU2|/', 'magnet:?xt=urn:btih:4N46TO5AFYNIGHGFJUQP673WI7MCNFTK']"
格温 ,"['威廉·麦格雷戈', '威廉·麦格雷戈', '埃莉诺·沃辛顿-考克斯', '理查德·哈林顿', '玛克辛·皮克', '马克·路易斯·琼斯', '寇布勒·霍尔德布鲁克-史密斯', '剧情', '恐怖', '历史']",['威廉·麦格雷戈'],"['埃莉诺·沃辛顿-考克斯', '理查德·哈林顿', '玛克辛·皮克', '马克·路易斯·琼斯', '寇布勒·霍尔德布鲁克-史密斯']","['剧情', '恐怖', '历史']",[],[],[],[],"
                            在十九世纪的斯诺登尼亚（Snowdonia）鲜明的美丽中，一个年轻的女孩拼命地把自己的家抱在一起。与母亲的神秘疾病，父亲的缺席以及残酷的采矿公司在他们的土地上的入侵作斗争。越来越多的黑暗开始笼罩着她的家，可疑的当地社区把格温和她的家人变成了现实。","['magnet:?xt=urn:btih:YQFANYWCB55LU3AVGQTLNUXKN3KXI5SI', 'ed2k://|file|格温.1080p.BD中英双字[66影视www.66Ys.Co].mp4|1323600034|42668F4AE152835201A248233F4677A5|h=DCTMDJBGNMOPR756CQ4PG6JEMDLAWJKA|/']"
斩、 ,"['冢本晋也', '冢本晋也', '池松壮亮', '苍井优', '冢本晋也', '中村达也', '剧情', '动作']",['冢本晋也'],"['池松壮亮', '苍井优', '冢本晋也', '中村达也']","['剧情', '动作']",[],[],[],[],"
                            塚本晋也将打造全新影片[斩]，与此同时影片首批卡司阵容曝光，池松壮亮、苍井优参演。该片故事背景设立于江户时代某村野地区，故事将围绕浪人和其息息相关人们的命运展开。 池松壮亮饰演有才华的浪人，苍井优扮演流浪的女子。该片日本将于11月24日上映。","['magnet:?xt=urn:btih:NUUOEH76ESRBBLZMPWGEXFIBFUZQ56DT', 'ed2k://|file|斩、.1080p.BD中字[66影视www.66Ys.Co].mp4|1255641246|E7E198F6D17DCC69DD9326497FF4D69B|h=HJLTEGODTO73SNWBIXSWXLMEXNKGDCKN|/']"
企鹅高速公路 ,"['石田祐康', '上田诚', '森见登美彦', '北香那', '苍井优', '西岛秀俊', '竹中直人', '动画']","['上田诚', '森见登美彦']","['北香那', '苍井优', '西岛秀俊', '竹中直人']",['动画'],['官方网站: penguin-highway.com'],['制片国家/地区: 日本'],['语言: 日语'],['片长: 117分钟'],"
                            根据森见登美彦同名小说改编的动画剧场版。一个小学四年级的男生对镇上突然冒出的企鹅和谜之牙科大姐姐展开了研究计划……","['ed2k://|file|企鹅高速公路.1080p.BD中字无水印[最新电影www.66ys.tv].mp4|2013438563|DC82DA442552DD590A06339B1850203F|h=SYARE3LAYKUA2NO5B74LCTZ2VJMP3ZUA|/', 'ed2k://|file|企鹅公路.1080p.BD中字[66影视www.66Ys.Co].mp4|2070935367|B5C44690507EEB47CC85116EB76CF3A3|h=UXY54FPGTHXWOL5ZEFOX5WSYXDC2QQUR|/', 'magnet:?xt=urn:btih:H5QOUDJYAB7TF2LS2MJ7W435CVE2EO2M', 'ed2k://|file|企鹅公路.720p.BD中字[66影视www.66Ys.Co].mp4|933852467|81A5A35F349AD463D61E6DC98060470B|h=MGMR7LCUIV7QMCVME5Z72WWMX6DB4QDU|/']"
名侦探柯南：绀青之拳 ,"['永冈智佳', '大仓崇裕', '高山南', '山口胜平', '山崎和佳奈', '小山力也', '绪方贤一', '岩居由希子', '高木涉', '大谷育江', '林原惠美', '松井菜樱子', '桧山修之', '石井康嗣', '浅川悠', '高桥广树', '梶裕贵', '间宫康弘', '林修', '河北麻由子', '山崎育三郎', '动画', '悬疑']",['大仓崇裕'],"['高山南', '山口胜平', '山崎和佳奈', '小山力也', '绪方贤一', '岩居由希子', '高木涉', '大谷育江', '林原惠美', '松井菜樱子', '桧山修之', '石井康嗣', '浅川悠', '高桥广树', '梶裕贵', '间宫康弘', '林修', '河北麻由子', '山崎育三郎']","['动画', '悬疑']",[],[],[],[],"
                            ","['magnet:?xt=urn:btih:4697A0C5AC944CC79945CF15B8478F8B5516DCC4', 'magnet:?xt=urn:btih:2DCDC543B724D8CB9CA7796281F425EC9453993C']"
安娜·卡列尼娜 ,"['伯纳德·罗斯', '伯纳德·罗斯', '列夫·托尔斯泰', '苏菲·玛索', '肖恩·宾', '阿尔弗雷德·莫里纳', '米娅·科施娜', '詹姆斯·福克斯', '费奥纳·肖', '剧情', '爱情']","['伯纳德·罗斯', '列夫·托尔斯泰']","['苏菲·玛索', '肖恩·宾', '阿尔弗雷德·莫里纳', '米娅·科施娜', '詹姆斯·福克斯', '费奥纳·肖']","['剧情', '爱情']",[],[],[],[],"
                            ","['ed2k://|file|安娜·卡列尼娜.720p.BD中英双字[66影视www.66Ys.Co].mp4|1539097382|1A8FDD1479840D728E3D1F372FE7FF67|h=YHX6MYTKXL5QNOAAPPLMT4TU46IERPPM|/', 'magnet:?xt=urn:btih:36J3LUXFQE5AVSOH3NAIICS62ESMRFET']"
影子大亨 ,"['伊桑·科恩', '乔尔·科恩', '伊桑·科恩', '乔尔·科恩', '山姆·雷米', '蒂姆·罗宾斯', '詹妮弗·杰森·李', '保罗·纽曼', '约翰·马奥尼', '查尔斯·德恩', '剧情', '喜剧', '爱情', '奇幻']","['伊桑·科恩', '乔尔·科恩', '山姆·雷米']","['蒂姆·罗宾斯', '詹妮弗·杰森·李', '保罗·纽曼', '约翰·马奥尼', '查尔斯·德恩']","['剧情', '喜剧', '爱情', '奇幻']",[],[],[],[],"
                            诺维尔（蒂姆·罗宾斯 Tim Robbins 饰）从大学毕业后便来到纽约街头找工作，缺乏经验的他只能在一家金融公司里担任一名收发室小职员。不久后总裁自杀身亡，公司的实权落入了老奸巨猾的董事会成员马斯伯（保罗·纽曼 Paul Newman 饰）手中，这本来没有诺维尔什么事，不料马斯伯为了达到他低价收购公司的目的，竟将看似愚蠢的诺维尔任命为他的傀儡总裁。而诺维尔此刻正在一门心思地研发他的新发明——呼啦圈，马斯伯想借此发明使公司的股票跌入冰点，不料呼啦圈推出后竟大肆流行，公司的股票直线上升。恼羞成怒的马斯伯开始在暗中大动手脚，将公司的局势搅得一落千丈，诺维尔也变成了众矢之的，甚至有可能被关进精神病院。绝望的他再次回到公司大楼的顶层，准备纵身一跃一了百了，然而就在此时，原已故去的前任总裁竟然出现了……","['ed2k://|file|金钱帝国.1080p.BD中英双字[66影视www.66Ys.Co].mp4|1743344080|B2C5A54D0A0CED5657044EA26FC24085|h=AWN6KL2T4C56FU6GGH2K4NWORAAKIA2U|/', 'magnet:?xt=urn:btih:3ILIY6YXNXVS4YMR442OVJ3FQR7RSBDK']"
安娜·卡列尼娜 ,[],[],[],[],[],[],[],[],"
                            为了说和花心的哥哥奥布朗斯基（马修·麦克费登 Matthew Macfadyen 饰）和嫂子多丽（凯莉·麦克唐纳 Kelly Macdonald 饰）濒临破败的婚姻，美丽贵妇安娜·卡列尼娜（凯拉·耐特丽 Keira Knightley 饰）乘坐火车来到莫斯科。她在当地邂逅骑兵军官渥伦斯基（亚伦·约翰逊 Aaron Johnson 饰），后者风度翩翩，英俊迷人，令多丽的妹妹凯蒂（艾丽西卡·维坎德 Alicia Vikander 饰）神魂颠倒，也让已为人妇的安娜心中若有所动。忌惮周遭的风言风语，安娜压抑内心的情感，乘夜返回彼得堡的家中。醉心名利的丈夫亚历山大·卡列宁（裘德·洛 Jude Law 饰），似乎全然无法体恤妻子心中的苦闷。未过多久，渥伦斯基尾随来至彼得堡，安娜再也无法闭锁那充满爱火和渴望的心门……","['ed2k://|file|安娜·卡列尼娜2012.720p.BD中英双字[66影视www.66Ys.Co].mp4|3168090665|EADC8CEE7F6A6A1D12B1074D2617F0DF|h=MENINK3C3CWGIQ7JX2SUGWU72RD47LF6|/', 'magnet:?xt=urn:btih:SYNIKR5EL46L5HWJA53IC3XJD3FHTLI5']"
高草丛中 ,"['文森佐·纳塔利', '文森佐·纳塔利', '乔·希尔', '斯蒂芬·金', '帕特里克·威尔森', '哈里森·吉尔伯特森', '蕾切尔·威尔森', '蕾斯拉·德·奥利维拉', '蒂芙妮·赫尔姆', 'Will Buie Jr.', 'Avery Whitted', '剧情', '惊悚', '恐怖']","['文森佐·纳塔利', '乔·希尔', '斯蒂芬·金']","['帕特里克·威尔森', '哈里森·吉尔伯特森', '蕾切尔·威尔森', '蕾斯拉·德·奥利维拉', '蒂芙妮·赫尔姆', 'Will Buie Jr.', 'Avery Whitted']","['剧情', '惊悚', '恐怖']",[],[],[],[],"
                            一对兄妹贝姬和卡尔听到高草丛中有个走失的小男孩在哭泣，于是冒险进去救他，结果中了某种邪恶力量的圈套。两人很快迷失方向并走散。他们与世隔绝，无法逃出这片田地越来越紧的束缚，但是他们很快发现，比迷失方向更可怕的是暴露自己。根据斯蒂芬·金和乔·希尔的中篇小说改编。","['ed2k://|file|高草丛中.1080p.BD中英双字[66影视www.66Ys.Co].mp4|1603619332|BEE2AA5B0F57A63F3A2FC0B27A404F9E|h=GXZLIT6GGOFADC36ZTGMGJY35U7J4RB4|/', 'magnet:?xt=urn:btih:G3T6S5PJAD7YPGAHZOYZUAYGLAPEJXYX']"
巨鳄风暴 ,"['亚历山大·阿嘉', '迈克尔·拉斯姆森', '肖恩·拉斯姆森', '卡雅·斯考达里奥', '巴里·佩珀', '罗斯·安德森', '安森·布恩', '乔治·索纳', '阿米‧梅特卡夫', '何塞‧帕尔马', '莫菲德·克拉克', '安娜玛丽亚·塞尔达', '萨凡纳·斯泰恩', '乔瓦娜·德拉加', '柯林·麦克法兰', '蒂娜‧普里比切维奇', '剧情', '惊悚', '灾难']","['迈克尔·拉斯姆森', '肖恩·拉斯姆森']","['卡雅·斯考达里奥', '巴里·佩珀', '罗斯·安德森', '安森·布恩', '乔治·索纳', '阿米‧梅特卡夫', '何塞‧帕尔马', '莫菲德·克拉克', '安娜玛丽亚·塞尔达', '萨凡纳·斯泰恩', '乔瓦娜·德拉加', '柯林·麦克法兰', '蒂娜‧普里比切维奇']","['剧情', '惊悚', '灾难']",['制片国家/地区: 美国'],['语言: 英语'],['上映日期: 2019-09-12(中国大陆) / 2019-07-12(美国)'],['又名: 噬逃险鳄(港) / 鳄魔(台) / 爬行'],"
                            一场猛烈的飓风正在逼近美国佛罗里达州的一座小镇。女主角海莉（卡雅·斯考达里奥饰）在游泳训练中接到了姐姐的电话，他们的父亲（巴里·佩珀饰）已经失联多时，她非常担心父亲的安危。海莉不顾撤离命令独自前往父亲家中，并最终在地下室里找到了身受重伤的父亲。洪水暴涨眼看就要将地下室淹没，海莉很快就意识到最可怕的并不是洪水，而是隐藏在水中的致命猛兽--鳄鱼。","['magnet:?xt=urn:btih:GAIQKIVQLW7BG3EOM7NLR7ITYQZXG25T', 'ed2k://|file|巨鳄风暴.1080p低码版.BD中英双字[66影视www.66Ys.Co].mp4|1376605421|02395B350AEB01C23521A5DB0E5D37E4|h=LNLIN6ROZN3EJSBUAYW7I3GPAUSLBREU|/', 'magnet:?xt=urn:btih:DBTQUSI2I5Q2DRVCZSQGZLDWU6IRQ7SV', 'ed2k://|file|巨鳄风暴.720p.BD中英双字[66影视www.66Ys.Co].mp4|2581952266|381801C631542BDA0ED4F40184C1071D|h=4IZFHUPGEFBRXYMRLZPYUMFDVU7X34N5|/', 'ed2k://|file|巨鳄风暴.1080p.BD中英双字[66影视www.66Ys.Co].mp4|5312816313|513F2FB67FE6F63384DECD061A981716|h=GNYMGUGHE6XR7MT5YVSHTA6U4LI6LGLI|/']"
1931刺杀宋子文之谜 ,"['韩晶', '韩晶', '胡杨', '李自超', '栗军', '王陵志', '殷成翔', '周勇', '张晓龙', '剧情', '悬疑']",['韩晶'],"['胡杨', '李自超', '栗军', '王陵志', '殷成翔', '周勇', '张晓龙']","['剧情', '悬疑']",[],[],[],[],"
                            1931年7月23日，由南京开往上海的京沪铁路线上的火车包厢内，坐着中华民国财长宋子文和日本驻华公使重光葵。300公里外的上海火车站北站，国民党内的“反蒋派”疏通“民国第一杀手”王亚樵，日本“魔法军人”田中隆吉勾结上海黑帮势力，即将在这里上演一幕惊天血案。枪声响起，人群惊散。然而，中弹倒地的却是另一位穿戴同款衣帽的年轻男子。原本射向宋子文和重光葵的子弹，为何最终会落到别人身上？案发前，响彻北站上空的两声神秘枪响，究竟是何人所为？错综复杂的血案背后，究竟有何玄机呢？","['ed2k://|file|1931刺杀宋子文之谜.1080p.HD国语中字.mkv|1637727642|3D4592A02B4A0A33F79AC7DF5268F86C|h=LI3HZQ2A4TTQBRPRJIWGNIDAXRULIGJR|/', 'magnet:?xt=urn:btih:HQ5GG3HI253FZBBFYZMXLRHK2WUMLOEJ']"
士兵的荣耀 ,"['胥明文', '胥明文', '段平', '黄奕', '刘超', '何文辉', '黄一飞', '宋禹', '周浩东', '动作', '战争', '犯罪']","['胥明文', '段平']","['黄奕', '刘超', '何文辉', '黄一飞', '宋禹', '周浩东']","['动作', '战争', '犯罪']",[],[],[],[],"
                            ","['ed2k://|file|士兵的荣耀.1080p.HD国语中字.mkv|2100492006|F309A354D22D84193E770F67ED3711A3|h=PZSFLWWUPDJHXPEUTFOWZLGWUEIBHJDG|/', 'magnet:?xt=urn:btih:J6452VJ5TKQAECMLW4OOOL5AKN77PLN7']"
方寸之爱 ,"['Anand Tiwari', 'Asif Ali Zardari', '维杰·卡沙尔', 'Angira Dhar', 'Alankrita Sahai', '拉特纳·帕塔克', 'Supriya Pathak', '喜剧']",['Asif Ali Zardari'],"['维杰·卡沙尔', 'Angira Dhar', 'Alankrita Sahai', '拉特纳·帕塔克', 'Supriya Pathak']",['喜剧'],['制片国家/地区: 印度'],['语言: 印地语'],['上映日期: 2018-02-14(印度)'],['又名: 每平方的爱'],"
                            Netflix进军印度，将发行旗下首部印度电影。这部名为[方寸之爱](Love Per Square Foot，暂译)的喜剧新片将是印度首部专门为流媒体打造的电影。影片由Netflix和本土公司UTV 影业共同打造。故事围绕一对打算在孟买买房的年轻夫妇展开，将于明年年初登陆Netflix。","['ed2k://|file|方寸之爱.720p.BD中字[最新电影www.66ys.tv].mp4|1492290188|458FF071A753880EA7CF434CA25C8443|h=NLJBJQKUC373ATJYFGGRG2FS77H523EY|/', 'magnet:?xt=urn:btih:Y447HQ4OYNT3YLLUIYNCSOS6QJKQ7FJY', 'ed2k://|file|方寸之爱.1080p.BD中字[66影视www.66Ys.Co].mp4|2766253391|F41A3EA38589F95CB67BAE8D0DC33453|h=RADRRIXIJ6OTSGQFEGHGNLXXZ26F5ZXN|/']"
远古邪蛛 ,"['Micah Gallo', 'Jason Alvino', '布莱恩·迪克', 'Micah Gallo', '丹尼斯·克罗斯比', '布鲁斯·戴维森', 'Matty Cardarople', '道阿·茂阿', '克洛伊·佩兰', '伊丽莎白·罗伯茨', '阿曼·达博', 'Grace Shen', '剧情', '惊悚', '恐怖']","['Jason Alvino', '布莱恩·迪克', 'Micah Gallo']","['丹尼斯·克罗斯比', '布鲁斯·戴维森', 'Matty Cardarople', '道阿·茂阿', '克洛伊·佩兰', '伊丽莎白·罗伯茨', '阿曼·达博', 'Grace Shen']","['剧情', '惊悚', '恐怖']",[],[],[],[],"
                            影片讲述了单亲妈妈“Kara”（Elizabeth Roberts）的故事，她从纽约搬到宁静的农村，带着她的两个孩子去寻找一个她无法拒绝的工作机会。这家人搬进了他们简陋的新宾馆。Kara开始她的私人护士的工作，“沃尔特”，（布鲁斯·戴维森）一个患有多发性硬化症的人和一个罕见的文物鉴定与神秘的过去。他们很快就发现这件遗物不仅仅是传说。在里面，等待着一个可怕的生物诞生于古老的黑暗和纯粹的本能，一个史前洞穴蜘蛛…","['magnet:?xt=urn:btih:5TH3F2HM2V7HGZZHIZNLQAVUDCHQ2HAH', 'ed2k://|file|远古邪蛛.1080p.BD中英双字[66影视www.66Ys.Co].mp4|2252901946|1B15F18CE5411868D3E217311D3247FD|h=OIZ3IQZCVTLTKVCXLB3Y6TG3SJSZKCIZ|/']"
月代头布丁 ,"['中村义洋', '中村义洋', '锦户亮', '友坂理惠', '今野浩喜', '佐藤仁美', '忽那汐里', '铃木福', '喜剧']",['中村义洋'],"['锦户亮', '友坂理惠', '今野浩喜', '佐藤仁美', '忽那汐里', '铃木福']",['喜剧'],[],[],[],[],"
                            ","['ed2k://|file|月代头布丁.1080p.BD中字[66影视www.66Ys.Co].mp4|1711925309|395A31A7467D25A6DD83811EEB5A2F48|h=KZOORU56CDKNZJSDDBAJIUMC4JGXDTLI|/', 'magnet:?xt=urn:btih:GSYENC5L2H57DSMRGMVKBGVML2QQBRJX']"
风云决 ,"['林超贤', '马荣成', '任贤齐', '谢霆锋', '韩雪', '童自荣', '动作', '动画', '武侠']",['马荣成'],"['任贤齐', '谢霆锋', '韩雪', '童自荣']","['动作', '动画', '武侠']",[],[],[],[],"
                            ","['ed2k://|file|风云决.1080p.国粤双语.BD中字[66影视www.66Ys.Co].mp4|1632238028|39296B262AFE43ECFC70872EFF77DB7D|h=I5DOKQ6C2ZYTKPA6IAFEM3M7FSA4NC6T|/', 'magnet:?xt=urn:btih:W3CD2HY47Y4BD5YF6FG54KN5INKQS2MB']"
恶人传 ,"['李元泰', '李元泰', '马东锡', '金武烈', '金成圭', '刘承睦', '崔民哲', '金胤成', '许栋元', '吴熙俊', '杨志洙', '金桀', '李恩泉', '动作', '犯罪']",['李元泰'],"['马东锡', '金武烈', '金成圭', '刘承睦', '崔民哲', '金胤成', '许栋元', '吴熙俊', '杨志洙', '金桀', '李恩泉']","['动作', '犯罪']",['制片国家/地区: 韩国'],['语言: 韩语'],['上映日期: 2019-05-15(韩国)'],"['又名: 极恶对决(台) / The Gangster, The Cop, The Devil']","
                            罪犯头目张东洙（Don Lee）被一名神秘莫测的连环杀手暴力袭击之后幸存，与当地警探郑泰硕（Kim Moo Yul）形成了一种奇妙的搭档关系，联手捕捉被称为“K”的虐待狂杀手”。","['magnet:?xt=urn:btih:6FLTMLWTQVR6ROKEIAI5QHL7AITSMIMV', 'http://bt.pp63.org/2019/恶人传.720p.1080p.HD中字.torrent', 'ed2k://|file|恶人传.1080p.HD中字[最新电影www.66e.cc].mp4|3299266916|9E10DA292291A861CD4C68FD32DEDE6D|h=3ETIOEY42RZVDIBZLF7FFGYZX2FMJBNT|/', 'ed2k://|file|恶人传.720p.HD中字[最新电影www.66e.cc].mp4|1543638873|04895000CA4DE38FED13C186C18D61D9|h=6NJDD6M5YPHPZNSUTGCEM5YVE2KJ2XUW|/', 'magnet:?xt=urn:btih:GV2NXZU2BVO3LIQ2V5BZ4OL25USFGX6A', 'ed2k://|file|恶人传.720p.BD中字[66影视www.66Ys.Co].mp4|2319178260|7CA8773EFAFB6B473BEBC7012ED78E95|h=3BYJO5YW3VKUNWRNAL723VNYDIV6IHBB|/', 'ed2k://|file|恶人传.1080p.BD中字[66影视www.66Ys.Co].mp4|5196860187|6DFED88125AA7A28A12AC4EE350CF172|h=QRTDB5MCWYTFVYMGRVQLMLBKR3HVYUOC|/']"
野兽 ,"['李正浩', '李正浩', '李星民', '刘在明', '全慧珍', '崔丹尼尔', '金浩贞', '金炳春', '金恩惠', '李书焕', '玉子妍', '李尚熙', '韩圭源', '动作', '犯罪']",['李正浩'],"['李星民', '刘在明', '全慧珍', '崔丹尼尔', '金浩贞', '金炳春', '金恩惠', '李书焕', '玉子妍', '李尚熙', '韩圭源']","['动作', '犯罪']",[],[],[],[],"
                            影片讲述为了侦破震动全国的杀人大案，发生在两个警察之间的一场对决。",['ed2k://|file|野兽.1080p.BD中字[66影视www.66Ys.Co].mkv|2340886881|3A1E2C44289F95F96DBDF96E9BB340AE|h=ZMDCSG64Q2WZP7S7X7XYGPCD7MATPPRZ|/']
海市蜃楼 ,"['奥里奥尔·保罗', '奥里奥尔·保罗', '拉拉·森迪姆', '阿德里亚娜·乌加特', '奇诺·达林', '阿尔瓦罗·莫奇', '诺拉·纳瓦斯', '哈维尔·古铁雷斯', '米格尔·费南德斯', '克拉拉·塞古拉', '米玛·里埃拉', '艾娜·克洛特', '阿尔伯特·佩雷斯', '弗兰塞斯克·奥雷利亚', '阿娜·瓦格纳', '西尔维亚·阿隆索', '贝伦·鲁埃达', '科幻', '悬疑', '惊悚']","['奥里奥尔·保罗', '拉拉·森迪姆']","['阿德里亚娜·乌加特', '奇诺·达林', '阿尔瓦罗·莫奇', '诺拉·纳瓦斯', '哈维尔·古铁雷斯', '米格尔·费南德斯', '克拉拉·塞古拉', '米玛·里埃拉', '艾娜·克洛特', '阿尔伯特·佩雷斯', '弗兰塞斯克·奥雷利亚', '阿娜·瓦格纳', '西尔维亚·阿隆索', '贝伦·鲁埃达']","['科幻', '悬疑', '惊悚']",['制片国家/地区: 西班牙'],['语言: 西班牙语'],['上映日期: 2019-03-28(中国大陆) / 2018-11-30(西班牙)'],['又名: 风暴 / During the Storm / Mirage'],"
                            ","['ed2k://|file|海市蜃楼.1080p.BD国西双语中字[66影视www.66Ys.Co].mkv|2420457430|939A5E5134C49483BF62A404824CB8CD|h=64MTPMYEV3HCCZ52CP7RNRCCMDX5TSMV|/', 'ed2k://|file|海市蜃楼.1080p.HD中英双字[最新电影www.66e.cc].mp4|1935144049|245377ECBAD225CBD15B54539A083801|h=O3CL4WXG3HDBORUXAIE7VAAWAG2E6JA6|/', 'ed2k://|file|海市蜃楼.720p.HD中英双字[最新电影www.66e.cc].mp4|975738567|2AAC1C80BA89559B31864AB67CDA4926|h=FEKNO3H5NO5P4XG7BB7R5EJAD7HLYSQ6|/', 'http://bt.pp63.org/2019/海市蜃楼.720p.1080p.HD中英双字.torrent']"
小丑回魂2 ,"['安德斯·穆斯切蒂', '加里·多伯曼', '斯蒂芬·金', '詹姆斯·麦卡沃伊', '杰西卡·查斯坦', '比尔·斯卡斯加德', '比尔·哈德尔', '索菲娅·莉莉丝', '杰克·迪伦·格雷泽', '菲恩·伍法德', '杰登·马泰尔', '特洛伊·詹姆斯', '哈维尔·博泰特', '杰·瑞恩', '斯蒂芬·金', '杰克逊·罗伯特·斯科特', '杰里米·雷·泰勒', '泽维尔·多兰', '杰克·威利', '尼古拉斯·汉密尔顿', '杰丝·威克斯勒', '詹姆斯·兰索恩', '瓦耶特·奥莱夫', '欧文·泰格', '艾赛亚·穆斯塔法', '安迪·比恩', '蒂奇·格兰特', '泰勒·弗雷', '贾森·福克斯', '乔森·雅各布', '斯蒂夫·博加尔特', '洛根·汤普森', '杰克·辛', '维尔·贝布林克', '安东尼·尤埃西', '恐怖']","['加里·多伯曼', '斯蒂芬·金']","['詹姆斯·麦卡沃伊', '杰西卡·查斯坦', '比尔·斯卡斯加德', '比尔·哈德尔', '索菲娅·莉莉丝', '杰克·迪伦·格雷泽', '菲恩·伍法德', '杰登·马泰尔', '特洛伊·詹姆斯', '哈维尔·博泰特', '杰·瑞恩', '斯蒂芬·金', '杰克逊·罗伯特·斯科特', '杰里米·雷·泰勒', '泽维尔·多兰', '杰克·威利', '尼古拉斯·汉密尔顿', '杰丝·威克斯勒', '詹姆斯·兰索恩', '瓦耶特·奥莱夫', '欧文·泰格', '艾赛亚·穆斯塔法', '安迪·比恩', '蒂奇·格兰特', '泰勒·弗雷', '贾森·福克斯', '乔森·雅各布', '斯蒂夫·博加尔特', '洛根·汤普森', '杰克·辛', '维尔·贝布林克', '安东尼·尤埃西']",['恐怖'],['制片国家/地区: 美国'],['语言: 英语'],['上映日期: 2019-09-06(美国)'],['又名: 它：第二章(台) / It 2'],"
                            故事发生在1989年夏季事件的27年后，失败者俱乐部成员已经长大并搬走了，直到一个不详的电话把他们召回缅因州的德利镇，对抗他们古老、会变形的敌人—跳舞小丑潘尼怀斯。",['magnet:?xt=urn:btih:Y2HHBRWLKY52HSEFXCFB5A2F7ATFAMGL']
